"with_CO2","what","site","sp","parameter","Value","Std.Error","DF","t.value","p.value"
FALSE,"log_core_measurement_dbh","NewMexico","PIST2","dbh",-0.0356875256537232,0.00467114225130691,1370,-7.63999975460786,4.05948112774071e-14
FALSE,"log_core_measurement_dbh","NewMexico","PIST2","pre",-0.0608658753707931,0.00914780270576489,1370,-6.65360604382469,4.12340416163043e-11
FALSE,"log_core_measurement_dbh","NewMexico","PIST2","I(pre^2)",-0.00159533483422303,0.000130432832719814,1370,-12.2310832399846,1.00738268218508e-32
FALSE,"log_core_measurement_dbh","NewMexico","PIST2","tmx",0.450498573927968,0.233898763139463,1370,1.92604085580117,0.0543059885998452
FALSE,"log_core_measurement_dbh","NewMexico","PIST2","I(tmx^2)",-0.0280093251249669,0.0128317480637554,1370,-2.18281445254385,0.0292187670889075
FALSE,"log_agb_inc_dbh","NewMexico","PIPO","(Intercept)",-10.3105623403568,1.13911410377107,2142,-9.0513867805019,3.08758410405164e-19
FALSE,"log_agb_inc_dbh","NewMexico","PIPO","dbh",0.0533815682878059,0.0201835516850664,2142,2.64480548917971,0.00823349373340785
FALSE,"log_agb_inc_dbh","NewMexico","PIPO","I(dbh^2)",-0.000963943771462378,0.000312941384720925,2142,-3.08026940036073,0.00209440989272473
FALSE,"log_agb_inc_dbh","NewMexico","PIPO","pre",-0.14766763289509,0.00997178590435575,2142,-14.8085442579135,2.59846271476853e-47
FALSE,"log_agb_inc_dbh","NewMexico","PIPO","I(pre^2)",-0.00297632584661369,0.000141798800938076,2142,-20.9897814856239,4.16101412881763e-89
FALSE,"log_agb_inc_dbh","NewMexico","PIPO","tmx",0.438181122777952,0.250423055941189,2142,1.74976349973486,0.0803023223511869
FALSE,"log_agb_inc_dbh","NewMexico","PIPO","I(tmx^2)",-0.0262611734955116,0.0137373459110675,2142,-1.91166282522988,0.0560527594663567
FALSE,"log_agb_inc_dbh","NewMexico","PIST2","(Intercept)",-10.5302467402719,0.986064754463929,1369,-10.6790620926276,1.26046145874266e-25
FALSE,"log_agb_inc_dbh","NewMexico","PIST2","dbh",0.156963583161441,0.0190977134702066,1369,8.21897257000487,4.71086209315766e-16
FALSE,"log_agb_inc_dbh","NewMexico","PIST2","I(dbh^2)",-0.00265867711511398,0.000440219781569272,1369,-6.03943127143553,1.98926925249675e-09
FALSE,"log_agb_inc_dbh","NewMexico","PIST2","pre",-0.061397542356297,0.00880447808625764,1369,-6.97344484872176,4.79815140725251e-12
FALSE,"log_agb_inc_dbh","NewMexico","PIST2","I(pre^2)",-0.00159801723087664,0.000125521604664746,1369,-12.7310133992054,3.5976600757768e-35
